stanox,crs
72353,ZEK
72359,ZEL
72401,XCM
72402,XEN
72406,XEU
72410,EUS
72413,KNR
72414,BSP
72415,BSY
72416,WHD
72417,FNY
72418,HDH
72419,GPO
72420,KTW
72421,CMD
73000,PAD
73003,PDX
73112,BDS
73113,TCR
73119,XKS
73220,XOL
73221,XOK
73225,XOO
73240,AML
73250,XAX
73253,EAL
73255,WEA
73261,HAN
73271,DRG
73272,CBP
73273,SGN
73415,GFD
73420,SRU
73425,WRU
73450,DNM
73451,DGC
73499,GER
73501,SRG
73502,BCF
73503,HWY
73505,SDR
73508,PRR
73520,MRS
73521,LTK
73663,STL
73767,HWV
73770,HAY
73777,HAF
73778,HXX
73780,WDT
73810,IVR
73816,LNY
73822,SLO
73824,WNC
73996,BNM
74001,TAP
74005,MAI
74012,FZP
74013,COO
74014,BNE
74016,MLW
74023,TWY
74027,SHI
74028,WGV
74029,HOT
74236,RDZ
74237,RDG
74249,RDW
74271,TLH
74273,RGP
74281,PAN
74291,GOR
74301,CHO
74313,DID
74315,XJF
74340,APF
74343,CUM
74428,RAD
74436,OXP
74446,OXF
74451,HND
74452,CME
74453,FIN
74454,CBY
74463,AUW
74464,SIP
74465,KGM
74557,BIT
74558,ISP
74561,XJV
74562,XGY
74605,TAC
74609,HYD
74702,THE
74714,AMT
74722,MDG
74723,THA
74798,NRC
74803,NBY
74805,KIT
74815,HGD
74816,BDW
74818,PEW
75010,XSJ
75012,SWI
75018,KEM
75352,CPM
75361,MKM
76072,LYD
76078,CDT
76079,CPW
76090,STJ
76239,CWM
76245,PPL
76251,AGV
76357,HFD
76373,LEO
76377,LUD
76379,CRV
76401,NWP
76627,PYE
76628,ROR
76630,RCA
76632,CKY
76634,NBE
76640,LTH
76646,EBV
76647,EBB
77301,CDF
78001,TRB
78002,YNW
78003,XTY
78004,TRY
78006,TPN
78008,YSR
78010,LLY
78012,TNP
78014,DMG
78015,POR
78017,TRH
78100,ABA
78102,XCB
78110,CMH
78129,FER
78130,MTA
78132,PER
78140,PTB
78142,TRD
78144,MEV
78146,QYD
78201,MER
78204,ACY
78215,PPD
78216,TRF
78218,TRE
78219,XTF
78220,TAF
78339,XRS
78341,RHY
78343,PLT
78346,TIR
78349,BHD
78351,BGD
78353,GFF
78356,PGM
78359,HNG
78362,YSM
78369,LNB
78370,ECP
78371,ABE
78374,CPH
78376,LVT
78378,LLS
78380,HHL
78381,COY
78383,WHT
78385,RHI
78387,BCG
78389,TGS
78391,HLL
78400,RDR
78410,LLN
78420,CYS
78451,CDQ
78456,CDB
78461,BUN
78505,DCT
78507,FRW
78509,WNG
78511,NNP
78514,XCC
78520,XPC
78608,PYC
78610,LTI
78615,LLR
78705,GTN
78710,DGL
78711,CGN
78713,EBK
78715,PEN
78717,DNS
78719,CAD
78805,BYD
78810,BRY
78817,BYI
78901,RIA
78915,LWM
79019,KWL
79031,PBY
79040,LLE
79054,BYE
79056,LLH
79057,PTD
79060,PTF
79064,AMF
79072,LLI
79073,FFA
79074,LLL
79075,LLG
79076,LNR
79077,LLV
79078,CYN
79079,SUG
79080,BHR
79081,LLO
79082,LNW
79083,LLM
79084,GTH
79085,CIM
79087,KNI
79088,XLW
79092,PNY
79093,DOL
79094,LLT
79095,LGO
79096,KNU
79097,BUK
79098,HPT
79099,BME
79222,SWF
79304,SWA
79305,XMA
79320,XDL
79324,LAS
79325,GWN
79408,SKE
79411,NTH
79600,BNF
79607,BAJ
79701,PTA
79785,PYL
79791,BGN
79798,PCD
79807,WMI
79808,SRR
79811,TDU
79824,GMG
79825,MEW
79828,MST
80010,XFH
80011,FGH
80013,FGW
80102,MFH
80111,JOH
80122,HVF
80199,CLR
80201,PMD
80202,PMB
80205,LAM
80207,MRB
80209,PNA
80211,TEN
80213,SDF
80215,KGT
80217,NAR
80303,WTL
80305,CUW
80407,FYS
80411,XCI
80419,CMN
81103,YAE
81109,BPW
81116,PWY
81118,PIL
81211,SVB
81230,SAR
81240,AVN
81246,PRI
81252,SHH
81255,SML
81259,CFN
81260,RDA
81261,MTP
81305,FIT
81306,BBZ
81307,HBR
81402,ASD
81403,SRD
81422,LWH
81432,XHL
81501,BTH
81503,OLF
81507,KYN
81524,XPM
81700,BRI
81800,XAB
81813,BMT
81816,PIA
81817,POH
81819,PSN
81903,NLS
81905,YAT
81906,WOR
81909,WNM
81911,WSM
81915,HIG
81924,BWT
82071,FFD
82073,AVF
82075,BOA
82085,TRO
82101,WSB
82105,DMH
82114,WMN
82204,FRO
82299,BRU
82301,CLC
82311,YVP
82313,THO
82314,YET
82315,CNO
82316,MDN
82332,GIL
82335,TIS
82338,TMC
82339,SHE
82341,YVJ
82354,XGK
83009,TAU
83014,BIB
83016,WCT
83019,MHD
83021,WLQ
83038,TVP
83222,BNP
83225,CPN
83226,UMB
83227,PMA
83231,KGN
83232,EGG
83235,LAP
83236,MRD
83238,COP
83310,OKI
83311,OKE
83312,SMC
83319,YEO
83321,CDI
83322,NTC
83403,XXF
83411,XFL
83421,EXD
83431,EXC
83435,SJP
83447,POL
83449,DIG
83453,PIN
83454,CBK
83458,FNT
83460,WHM
83461,HON
83466,AXM
83470,CKN
83471,TOP
83472,EXN
83473,LYC
83474,LYM
83475,EXM
83476,NCO
83517,EXT
83518,MBT
83602,SCS
83603,DWW
83605,DWL
83607,TGM
83624,NTA
83627,TRR
83628,TQY
83629,EDS
83631,PGN
83634,XFO
83636,GUD
83638,CHS
83639,KWR
83702,TOT
83709,BFL
84067,IVY
84090,XLZ
84095,XMG
84139,PLY
84199,DPT
84200,DOC
84201,KEY
84204,SBV
84205,BFE
84207,BAS
84208,GSL
84209,CSK
84295,SBF
84301,STS
84397,SGM
84401,MEN
84411,LSK
84415,COE
84416,SKN
84417,CAU
84418,SDP
84421,LOO
85011,BOD
85101,LOS
85111,PAR
85225,LUX
85231,BGL
85233,ROC
85244,SCR
85246,QUI
85261,NQY
85303,SAU
85501,TRU
85507,PRW
85511,PYN
85513,PNM
85515,FMT
85521,FAL
85601,RED
85622,CBN
85702,HYL
85711,SIV
85713,CBB
85715,LEL
85716,LTS
85721,SER
85734,PNZ
86002,ESH
86003,HER
86004,WAL
86005,WYB
86011,ASN
86012,CHY
86022,BFN
86023,WBY
86031,WOK
86038,XGE
86041,BKO
86042,FNB
86045,FLE
86047,WNF
86049,HOK
86058,XDF
86059,MOR
86061,BMY
86063,XBT
86064,XBZ
86065,XBS
86066,BSK
86070,OVR
86071,WCH
86074,ADV
86077,GRT
86079,XGC
86081,MIC
86083,WIN
86084,SHW
86085,XEX
86087,ESL
86092,XFB
86093,XEH
86101,ROM
86104,XEW
86107,DBG
86108,CFR
86112,DEN
86119,XFV
86122,SAL
86123,XFU
86201,HDE
86202,BOE
86215,WLS
86216,BTE
86218,SHO
86219,NTL
86222,HME
86223,BUO
86225,SNW
86241,FRM
86248,PTC
86292,SHN
86293,LKE
86294,SAN
86295,BDN
86296,SAB
86297,RYR
86298,RYD
86299,RYP
86301,CSA
86311,PMH
86313,PMS
86314,XGL
86321,FTN
86323,XFR
86332,HLS
86339,BDH
86341,HAV
86342,WBL
86343,EMS
86353,SOB
86363,NUT
86373,BOH
86383,FSB
86424,CCH
86441,BOG
86451,BAA
86461,FOD
86471,LIT
86495,SOA
86497,SWG
86499,SDN
86508,XFS
86516,XSN
86520,SOU
86522,XFX
86524,XFW
86527,MBK
86602,XSK
86703,RDB
86711,TTN
86893,ANF
86896,BEU
86901,BCU
86907,LYT
86908,LYP
86909,SWY
86911,NWM
86913,HNA
86915,CHR
86917,POK
86921,BMH
86923,XBM
86927,BSM
86928,BHA
86929,PKS
86936,XFT
86951,HAM
86952,HEH
86954,NOD
86955,CFC
86956,HAR
86961,HOL
86963,XGA
86964,WRM
86969,SGE
86971,WOO
86975,MTN
86976,DCH
86977,DCW
86978,UPW
86981,WEY
86982,XGB
87001,WTI
87002,EAR
87003,WNS
87004,WKM
87005,XGG
87006,CRN
87008,SND
87009,BAW
87010,FNN
87012,NCM
87014,ASH
87016,WAN
87018,ARF
87019,ROP
87021,AON
87024,BTY
87026,FNH
87028,XFM
87029,XFN
87031,AHT
87041,AHV
87045,WPL
87051,XFQ
87052,GLD
87055,FNC
87056,XEJ
87057,GOD
87059,MLF
87061,WTY
87062,HSL
87064,LIP
87065,LIS
87066,PTR
87067,RLN
87068,LRD
87069,CLA
87070,HSY
87071,EFF
87072,BKA
87073,XFF
87074,CSD
87081,SFR
87082,CHL
87083,GOM
87084,DKT
87085,BTO
87086,DPD
87089,REI
87097,FML
87099,CAM
87100,MAO
87101,BCE
87102,BAG
87103,ACT
87104,SNG
87105,LNG
87106,VIR
87107,EGH
87108,WRY
87109,SNY
87110,DAT
87111,WNR
87113,XFY
87114,SNS
87116,XFZ
87117,AFS
87121,FEL
87123,ZAE
87126,WTN
87130,ZTU
87131,TWI
87133,SMG
87134,STW
87135,RMD
87136,KWG
87137,NSH
87138,GUN
87139,MTL
87141,HOU
87142,ISL
87143,SYL
87144,BFD
87147,KWB
87148,CHK
87149,BNS
87150,BNI
87151,XSX
87152,PUT
87153,WNT
87154,KMP
87155,SHP
87156,UPH
87157,SUU
87158,HMP
87159,TED
87160,FLW
87161,KNG
87162,HMW
87163,NBT
87169,NEM
87170,BRS
87171,SUR
87179,THD
87181,HMC
87185,HYW
87186,ZMH
87189,CLG
87193,OXS
87196,XVC
87201,VIC
87203,BAK
87207,WWR
87208,XVJ
87209,CLP
87211,XWA
87212,WAT
87214,VXH
87216,QRB
87219,CLJ
87220,WSW
87221,XYM
87222,BAL
87238,XSL
87243,ZPU
87244,CTK
87245,BFR
87246,EPH
87247,LGJ
87248,BRX
87249,HNH
87250,EAD
87251,WPK
87254,SFS
87260,XWP
87261,WIM
87271,RAY
87301,MOT
87302,WCP
87303,SNL
87304,EWW
87323,WBO
87327,SMO
87331,MDS
87335,SIH
87339,SUC
87400,MAL
87403,TOL
87405,CSN
87411,CSS
87566,ROE
87568,ZCW
87572,SQE
87576,SCE
87601,LBG
87602,XLJ
87603,NXG
87606,DMK
87608,NDL
87609,PMR
87610,EDW
87611,TUH
87613,STE
87614,TOO
87615,HYR
87620,XSS
87621,SRH
87622,WNW
87624,GIP
87625,CYP
87626,SYD
87627,FOH
87628,HPA
87629,BCY
87631,SRC
87633,NRB
87635,TTH
87637,SRS
87639,XSH
87643,NWD
87644,ANZ
87645,PNW
87648,XGU
87651,WCY
87659,MTC
87661,MIJ
87662,WDO
87663,WLT
87665,CSB
87667,HCB
87669,CSH
87671,SUO
87673,WSU
87675,BLM
87677,BAD
87678,CHE
87679,EWE
87681,EPS
87682,XFK
87683,AHD
87685,LHD
87686,BXW
87687,DKG
87692,EPD
87701,ECR
87703,RHM
87704,SCY
87706,CAT
87707,TAT
87708,TAD
87709,KND
87710,CHP
87711,WME
87712,MHM
87713,CDN
87722,RDH
87731,NUF
87734,GDN
87736,EBR
87738,PHR
87739,LIH
87743,SNR
87744,RDD
87745,UWL
87746,WOH
87751,OXT
87753,HUR
87755,LFD
87757,DMS
87759,EGR
87760,EBT
87761,CWN
87762,HEV
87763,AHS
87764,ERI
87766,COH
87768,BXD
87769,UCK
87800,PUO
87801,PUR
87810,KLY
87811,WHY
87812,WHS
87900,CDS
87901,XJS
87903,ELD
87905,SAF
87909,HOR
87910,XGT
87911,GTW
87920,TBD
87924,XTB
87931,CRW
87933,IFI
87935,FGT
87936,LVN
87937,HLM
87938,OLY
87939,WNH
87941,HRH
87948,CHH
87951,BIG
87954,PUL
87957,AMY
87958,ARU
87959,XXA
87963,BAB
87967,HHE
87969,WVF
87971,BUG
87972,XKM
87973,HSK
87975,PRP
87979,XBI
87980,BTN
87983,XDV
87985,AGT
87986,PLD
87987,FSG
87988,SWK
87991,SSE
87993,EWR
87994,LAC
87995,WRH
87996,DUR
87997,GBS
87998,ANG
88003,XYC
88103,HOV
88111,WWO
88113,XWW
88141,LRB
88161,MCB
88181,FMR
88201,PMP
88211,CBR
88221,LWS
88224,XRH
88226,SEE
88231,NVN
88236,NVH
88237,NVM
88238,BIP
88239,SEF
88242,GLY
88246,BRK
88248,PLG
88249,XIL
88252,HMD
88253,XEB
88254,EBN
88269,COB
88270,PEB
88271,PEV
88272,NSB
88273,WDU
88274,CLL
88275,BEX
88278,SYH
88279,WLD
88281,XSE
88282,XSM
88283,SLQ
88284,XOP
88285,HGS
88288,ORE
88295,TOK
88296,DLH
88297,WSE
88309,LAD
88311,CFB
88312,BIK
88313,LSY
88314,KTH
88315,BKJ
88317,NBC
88319,CLK
88321,ELE
88325,EDN
88327,WWI
88329,HYS
88400,XMK
88401,CHX
88402,WAE
88403,CST
88405,SBM
88407,QRP
88408,XSU
88409,XKE
88410,NWX
88411,SAJ
88413,NHD
88415,LEW
88416,BKH
88417,KDB
88418,ELW
88419,WLI
88420,FCN
88421,BXH
88422,BNH
88424,SGR
88427,XGX
88431,DEP
88433,GNW
88435,MZH
88437,WCB
88438,XRT
88443,XGP
88447,XPY
88449,XHX
88450,XHG
88451,HGR
88453,LEE
88455,XHI
88457,MTG
88459,NEH
88461,SID
88462,AYP
88463,BXY
88464,CRY
88466,DFD
88467,CFT
88468,ESD
88469,CTF
88470,SUP
88471,BGM
88472,BEC
88473,RVB
88474,SRT
88475,PNE
88476,XOR
88477,BMS
88478,BKL
88479,XLY
88480,FNR
88481,GRP
88482,BMN
88483,CIT
88485,XMU
88486,SAY
88487,LGF
88488,MEP
88489,SOR
88490,XPE
88491,ORP
88492,PET
88493,SMY
88495,CLD
88499,XWK
88515,CTN
88516,WWD
88517,WWA
88522,PLU
88523,XPS
88528,WWC
88601,ABW
88602,BVD
88604,ERH
88607,ABX
88697,SCG
88699,GNH
88705,SWM
88709,NFL
88711,XSR
88721,GRV
88730,XHJ
88735,XLF
88755,HGM
88801,SOO
89002,XRJ
89004,RTR
89007,CTM
89011,GLM
89016,XGI
89018,RAI
89021,NGT
89109,KML
89111,SWL
89124,QBR
89129,XQC
89131,XQY
89136,XXS
89137,SSS
89144,SIT
89149,TEY
89202,HAI
89302,CUX
89305,SDA
89306,NHE
89309,AYL
89313,MDB
89315,MDW
89321,PLC
89322,EFL
89323,HCN
89325,WTR
89326,SPU
89327,YAL
89328,MRN
89329,BEG
89331,PDW
89341,KCK
89342,DNG
89345,EYN
89346,SEH
89347,XOT
89348,OTF
89349,BBL
89351,SEV
89356,HLB
89360,XTW
89363,TON
89372,HIB
89375,TBW
89389,FRT
89391,XMX
89392,WAD
89393,SOG
89394,ETC
89396,RBR
89397,XMO
89398,BAT
89399,CWU
89400,KMS
89401,BRG
89402,BMG
89403,MDE
89404,BSD
89405,HBN
89406,HRM
89407,LEN
89408,CHG
89409,XHF
89410,WMA
89411,EML
89417,XEV
89431,HMT
89432,APD
89439,RYE
89441,WYE
89443,CIL
89445,CRT
89446,CBW
89449,STU
89451,MSR
89452,XMF
89462,SDW
89465,DEA
89467,WAM
89469,MTM
89470,DMP
89472,XRE
89473,RAM
89474,BSR
89475,MAR
89478,WGA
89479,BCH
89483,HNB
89486,CSW
89489,WHI
89494,THP
89501,FAV
89511,SEG
89512,CBE
89513,BKS
89514,ADM
89515,AYH
89516,SWO
89517,SPH
89519,KSN
89521,XUK
89529,XXJ
89532,XXI
89538,XJN
89540,XXO
89542,XXP
89548,XXN
89552,XXL
89554,XXG
89556,XXK
89564,XXB
89566,XIW
89572,XIE
89574,XXX
89611,DVP
89723,FKE
89727,FKC
89731,FKW
89733,XSI
89735,XLM
89739,XTP
89742,SDG
89743,WHA
89744,XVT
