stanox,crs
10197,NRT
10199,SBS
10201,SEL
10203,SSC
10205,DRI
10206,RAV
11001,WDM
11003,SVL
11005,BUD
11007,KEN
11012,OXN
11209,BOC
11210,SIC
11211,MLM
11215,GNR
11221,FOX
11223,KBF
11225,ASK
11231,BIF
11233,XBF
11261,ROO
11271,DLT
11311,ULV
11331,CAK
11341,KBK
11401,GOS
11403,ARN
11405,SVR
11519,XCS
11525,CNF
11526,XOA
11561,WNN
11563,BEN
11565,CPY
11567,GIG
11611,HHB
11701,MCM
11711,BAR
11720,LAN
12001,BWK
12109,CHT
12112,ALM
12115,ACK
12119,WDD
12124,PEG
12132,MPT
12136,CRM
12253,NOP
12257,SEJ
12259,NWH
12260,BLI
12262,BEJ
12263,ASL
12401,APN
12402,CEP
12403,BAF
12404,KIP
12405,REG
12406,FAW
12407,WRD
12411,SGH
12413,IFR
12414,WEJ
12416,JES
12417,HMA
12418,MMS
12419,BNO
12430,TYP
12714,XHT
12719,MAS
12721,MRM
12725,SJN
12924,FLG
12926,GAS
12928,GAT
12929,NCZ
12931,NCL
13150,FEG
13154,PAW
13156,HEW
13157,HEZ
13299,WRL
13302,BMP
13303,XRL
13305,HWH
13311,BLL
13313,HDB
13316,HEX
13318,CRB
13319,RDM
13321,SKS
13322,PRU
13327,WYM
13403,BLO
13515,MCE
13523,DOT
13550,TYN
13571,CLS
13702,DHM
13703,HRE
14003,BNR
14006,EBL
14008,SEB
14023,STZ
14030,UNV
14031,SUN
14034,CIC
14037,PAI
14038,MIF
14039,STI
14040,SHZ
14156,SEA
14225,HPL
14239,SEC
15039,BIL
15223,STK
15316,TBY
15401,XTE
15449,MBR
15501,NNT
15502,MTO
15503,GYP
15504,JCH
15506,GTA
15511,BTT
15512,KLD
15513,COM
15515,DNY
15516,LHM
15517,CSM
15518,GLS
15519,EGT
15520,XPK
15522,GMT
15524,SLH
15526,RUS
15527,XLA
15529,XGZ
15531,WTB
15625,SBK
15656,RBS
15661,RCC
15664,RCE
15666,LGK
15668,MSK
15671,SLB
15701,EAG
15702,ALW
15711,TEA
15714,DND
15816,SNP
15826,BIA
15831,SHD
15833,NAY
15834,HEI
15846,NRD
15866,DAR
15876,YRM
15883,NTR
16001,THI
16101,HBP
16102,HGT
16109,SBE
16113,KNA
16116,CTL
16118,HMM
16124,POP
16201,SCA
16215,SEM
16232,MLT
16413,XYK
16416,YRK
16441,XYS
16493,ULL
16495,CHF
16497,SIE
16523,SBY
16595,SOM
16602,MIK
16603,EGF
16604,GRF
16722,PFR
16912,CFD
17008,CEY
17009,SON
17011,KEI
17012,XKV
17013,XOB
17014,CFL
17016,BIY
17017,SAE
17019,BDQ
17021,FZH
17033,SHY
17038,BLD
17041,MNN
17045,BUW
17050,APY
17051,GSY
17054,BEY
17055,ILK
17101,BUY
17103,HDY
17105,HRS
17107,WET
17109,PNL
17112,CRG
17115,XNL
17132,LDS
17140,KLF
17143,COT
17145,MLY
17146,WRO
17149,XES
17189,WDS
17302,GLH
18005,HEL
18008,WBD
18022,KNO
18025,PFM
18028,POT
18031,FEA
18032,SHC
18035,XRF
18041,NOR
18058,WKK
18064,OUT
18067,WKF
18069,SNA
18071,FZW
18077,SES
18305,MRP
18402,DRT
18413,XHB
18420,XHM
18437,BTL
18438,DEW
18439,RVN
18441,MIR
18448,SOW
18449,HBD
18451,MYT
18453,ELN
18455,BGH
18461,LMR
18464,HFX
18472,DHN
18474,HUD
18477,SWT
18479,MSN
18487,LCK
18488,BBW
18489,HOY
18492,BHS
18494,SSM
18496,SPY
18498,DBD
18641,BDI
18651,NPD
18654,BLE
19002,FIL
19004,HUB
19006,BEM
19007,BDT
19015,NFN
19016,DRF
19018,HUT
19019,ARR
19023,BEV
19031,CGM
19101,XBG
19105,HUL
19195,HES
19199,FRY
19211,BUH
19213,BMF
19215,GBD
19218,EGN
19221,HOW
19224,WRS
20002,GOO
20007,SAM
20011,RWC
20014,SNI
20055,TNN
21001,BAU
21004,BAV
21005,NHL
21006,GOX
21008,TNA
21011,ULC
21021,HAB
21027,SLL
21031,HLI
21033,GCT
21122,GMB
21134,GMD
21137,NCE
21141,CLE
21415,BTB
22061,SCU
22075,ALP
23003,CWE
23004,TNS
23022,HFS
23026,KKS
23115,BYK
23118,AWK
23418,XWV
23421,DON
23491,RET
23501,FGY
24003,THC
24004,GOE
24011,BTD
24108,SWN
24221,CNS
24314,MEX
24385,BNY
24799,RMC
25210,PAQ
25213,MAB
25307,CLN
25308,ELR
25309,WOM
25316,MHS
25317,SHQ
25318,TIN
25371,WBG
25386,DOD
25387,SLK
25389,PNS
25701,SHF
25704,DOR
25711,DRO
25803,WOD
25804,DAN
25805,CAE
25806,VAE
25807,SAI
25808,ATE
25809,NUR
25810,CIN
25811,HYP
25812,FIZ
25813,CAX
25824,WDH
26001,BGG
26004,KTL
26008,GNB
26104,GBL
26208,XRO
26222,WRK
26247,WWL
26252,SRO
26591,KVP
26609,KIV
27263,CHD
28001,CWD
28003,LAG
28105,SHB
29005,BYM
29030,CNE
29033,NEL
29036,BRF
29041,BNC
29043,BUB
29050,RSG
29057,HPN
29059,HCT
29061,ACR
29063,CTW
29066,RIS
29143,CLH
29144,WHE
29145,LHO
29146,RGW
29150,BBN
29161,MLH
29162,CYT
29163,PLS
29173,DWN
29175,ENT
29177,BMC
29179,HID
30021,BPN
30022,XNS
30027,LAY
30033,BPS
30034,BPB
30035,SQU
30036,SAS
30037,AFV
30038,LTM
30039,MOS
30041,PFY
30044,KKM
30050,SLW
30118,XPT
30120,PRE
30133,BMB
30139,XLS
30142,LOH
30153,CSO
30155,RUF
30157,BCJ
30162,LEY
30163,EBA
30164,XOU
30201,BSV
30213,CRL
30221,BLK
30225,HWI
30321,ADL
30330,LOT
30331,XLK
31031,TOD
31033,RCD
31035,SMB
31037,LTL
31039,WDN
31044,CAS
31049,MIH
31069,DNN
31300,XNN
31303,MSO
31339,MLP
31510,MCV
31519,SFD
31521,SLD
31565,CLI
31567,KSL
31569,FNW
31613,MSS
31620,BON
31739,ECC
31742,PAT
32000,MAN
32043,XRK
32045,ADK
32050,ABY
32055,GTO
32056,FRF
32061,BLV
32062,RRB
32063,RDN
32064,BNT
32065,BDY
32107,GNF
32109,MSL
32111,SYB
32115,AHN
32210,GUI
32214,HYT
32216,HYC
32218,WLY
32222,FLF
32224,NWN
32226,GDL
32228,GDE
32230,HTY
32232,BDB
32243,DTG
32250,GLO
32255,HDF
32508,XLI
32512,XML
32516,LVM
32517,HTC
32520,DTN
32521,RDS
32522,BNA
32524,EDY
32526,GTY
32527,MAU
32528,SYA
32529,HDG
32530,MIA
32534,SPT
32538,DVN
32539,WSR
32541,HAZ
32542,MDL
32543,DSL
32544,NMN
32545,FNV
32546,WBR
32547,CEF
32548,DVH
32550,RSH
32552,RML
32553,MPL
32554,SRN
32555,NMC
32563,CHU
32566,HTH
32568,WML
32571,MAC
32573,PRB
32575,ADC
32577,PYT
32579,BML
32581,ALD
32583,CEL
33087,MCO
33088,DGT
33092,MUF
33093,TRA
33094,HUP
33095,URM
33096,FLI
33097,IRL
33098,CSR
34001,CLY
34005,EDL
34010,HOP
34011,BAM
34015,HSG
34022,GRN
34201,BUX
35001,SOP
35016,MEC
35018,BES
35020,NLN
35022,BCB
35024,HSC
35026,PBL
35050,APB
35102,GST
35107,XWG
35111,WGW
35121,INC
35123,HIN
35125,WHG
35136,WGN
35139,ATN
35140,HGF
35141,DSY
35142,WKD
35144,MSD
35146,SNN
35150,XWM
35321,NLW
35325,ERL
35394,BYN
35395,GSW
35405,SNH
35437,WHN
35439,RNH
35447,LEG
35449,SHJ
35531,WBQ
35591,XYJ
35701,RUE
35703,FRD
36001,OMS
36005,AUG
36011,TWN
36013,MAG
36014,MNS
36015,ORN
36027,AIN
36028,OPK
36029,WAO
36040,PEM
36042,ORR
36044,UPL
36046,RNF
36050,KIR
36051,HBL
36052,FAZ
36053,RIL
36054,LVB
36057,KKD
36058,XKK
36060,BDL
36061,HIL
36062,ANS
36063,FRE
36064,FBY
36065,HTO
36066,HLR
36067,XHR
36068,BLN
36069,WLO
36070,SFL
36071,BNW
36072,BOT
36075,BAH
36076,SDL
36078,XMR
36080,LVC
36082,BRW
36084,STM
36086,AIG
36088,CSG
36089,GRM
36091,LPY
36151,LIV
36168,XLT
36170,EDG
36173,XEG
36174,XDG
36178,XSD
36181,XWT
36185,MSH
36187,WSA
36191,XAL
36192,ALE
36501,RUN
36599,WAV
36602,BGE
36603,ROB
36605,HUY
36611,PSC
36615,ECL
36616,THH
36702,HNX
36703,HGN
36704,HED
36705,WID
36706,SNK
36711,WAC
36713,WAW
36714,PDG
36716,BWD
36719,GLZ
37001,ACB
37005,HTF
37011,WSF
37065,MLD
37067,DLM
37069,CUD
37073,GBK
37129,NWI
37209,LTG
37211,PLM
37221,KNF
37222,MOB
37223,ASY
37224,HAL
37225,ALT
37227,NVR
38001,WKI
38004,HYK
38005,MNR
38006,MEO
38008,MRT
38009,LSW
38010,NBN
38012,BID
38016,WLV
38018,WLG
38031,UPT
38033,HSW
38035,NES
38151,BKN
38153,BKP
38155,XDB
38157,CNP
38181,MRF
38182,LVL
38183,XLV
38184,LVJ
38185,BKQ
38200,BKC
38201,RFY
38202,GNL
38208,BEB
38210,PSL
38214,SPI
38216,BMR
38218,BOM
38220,ERA
38302,HOO
38304,CPU
38306,BAC
38314,LTT
38316,OVE
38317,ELP
38372,SNT
38379,INE
38384,HSB
39005,HWB
40001,HHD
40012,VAL
40013,RHO
40015,TYC
40017,BOR
40021,AMW
40030,LPG
40036,BNG
40037,LLF
40042,PMW
40045,CNW
40046,LLD
40047,DGY
40050,LLJ
40055,GCW
40056,TRW
40057,TLC
40058,DLG
40059,LWR
40060,NLR
40061,BYC
40062,PYP
40063,DWD
40064,RMB
40066,BFF
40071,CWB
40073,AGL
40076,RHL
40101,PRT
40125,FLN
40209,SHT
40304,XCH
40320,CTR
41017,HWD
41019,BCK
41022,PNF
41025,HPE
41027,CGW
41029,CYB
41031,GWE
41111,WXC
41130,WRX
41131,XNF
41403,RUA
41407,CRK
42002,GTR
42004,HCH
42012,SDB
42140,CRE
42141,XCT
42145,XCR
42159,XXM
42172,NAN
42211,WRE
42221,WTC
42226,PRS
42231,WEM
42241,YRT
42412,ASG
43013,CNG
43031,KDG
43044,LPT
43211,SOT
43305,WED
43306,BRT
43308,SNE
43314,STA
43328,XCO
43331,RGL
43416,SSH
43418,END
43419,BNN
43422,LEK
43423,FMA
43426,SBN
43427,BHH
43428,MIP
43501,LGN
43503,BYB
43605,UTT
44017,SXY
44038,LCN
44043,MKR
44049,XTT
44068,HKM
44073,SWD
44077,CLM
44093,MGM
44095,RKT
44101,ANC
44105,RAU
44113,SLR
44203,HEC
44205,SWE
44207,HBB
44212,BSN
44223,TPC
44225,WFL
44228,HVN
44231,SKG
44301,XNK
44302,NCT
44304,NNG
44421,GRA
44511,BTF
44514,ELO
44517,ALK
45008,SMD
45097,XPQ
45100,XPW
45106,PBO
45117,XPN
45141,XOM
45150,XHO
45201,HUN
45402,SNO
45603,SDY
45611,BIW
46014,SPA
46138,WLE
46206,MCH
46215,MNE
46220,KLN
46221,XKL
46252,WTG
46255,DOW
46259,LTP
46261,TTF
46264,BND
46266,LAK
46268,SPP
46272,XYE
46273,ELY
46276,SOJ
46279,KNE
46301,BSE
46401,TRS
46404,ESW
47004,NMK
47006,DUL
47007,CYH
47051,WBC
47211,CMS
47214,CMB
47215,XCA
47221,CBG
47239,SED
47242,FXN
47244,STH
47248,MEL
47250,XSP
47303,WLF
47311,GRC
47321,AUD
47331,NWE
47335,ESM
47342,SST
47344,SSD
47412,BIS
47521,SAW
47603,HWM
47611,HWN
47621,RYN
48006,WRN
48007,CMR
48008,SHM
48009,RNR
48010,GNT
48013,NWA
48016,WRT
48031,HXM
48033,SAH
48053,GYM
48054,XYA
48056,ACL
48058,LGD
48066,BYA
48104,LWT
48120,OUN
48195,SYT
48197,HAD
48201,REE
48211,CNY
48213,BUC
48215,BDA
48216,BGA
48218,XWH
48221,XNC
48231,NRW
48232,XNY
48425,WMD
48429,SPN
48501,ATL
48511,ECS
48521,HRD
49002,DIS
49014,SMK
49016,NMT
49101,OUS
49103,BCC
49105,BRP
49107,HAS
49109,DSM
49114,LIE
49118,SAX
49119,WCM
49121,MES
49124,WDB
49137,FLX
49138,TRM
49145,DBR
49151,WFI
49199,XIP
49203,XIQ
49211,IPS
49302,MNG
49313,MIS
49321,WRB
49400,XPA
49409,HPQ
49415,DVC
49422,HWC
50011,WON
50014,FRI
50016,KBX
50021,CLT
50022,XLC
50024,TLS
50025,WEE
50026,GRB
50027,ALR
50028,WIV
50030,HYH
50041,CET
50048,XLG
50049,COL
50051,XLP
50105,MKT
50107,CWC
50109,BUE
50111,SUY
50113,KEL
50204,BTR
50205,BTP
50206,CES
50208,WNY
50211,WTM
50217,HAP
50223,CHM
50224,BPA
50227,INT
50301,SMN
50304,BUU
50305,ALN
50307,NFA
50308,SOF
50309,BLB
50311,SOV
50314,PRL
50315,SIA
50316,RFD
50318,HOC
50321,RLG
50324,WIC
50327,BIC
50328,SNF
50331,BRE
50333,HRO
50334,GDP
50391,EMP
50392,XUP
50401,RMF
50405,CTH
50412,GMY
50417,SVK
50422,XIF
50423,IFD
50428,ZRE
50430,XAK
50431,MNP
50435,FOG
50438,MYL
51001,SRY
51004,TPB
51005,SOE
51007,SOC
51009,WCF
51011,CHW
51013,LES
51014,BEF
51016,PSE
51019,BSO
51023,SFO
51130,ETL
51203,TIL
51301,LAI
51305,WHR
51309,OCK
51311,GRY
51313,CFH
51344,PFL
51347,RNM
51349,XXU
51351,UPM
51353,ZUM
51359,ZDE
51402,DDK
51412,XXH
51531,BKG
51532,ZKB
51533,BGV
51541,WGR
51545,WNP
51547,LER
51551,LEM
51553,WMW
51555,BHO
51558,STO
51561,HRY
51563,CRH
51602,XEM
51604,ZEH
51702,HFE
51707,WAR
51711,SMT
51717,RYH
51722,BXB
51815,CHN
51912,WLC
51913,ENL
51914,BMD
51918,PON
51925,MRW
51929,NUM
51931,TOM
51933,LEB
51937,XMI
51940,TEO
51942,TUR
51944,SBU
51946,ENF
51947,BHK
51948,XSG
51949,EDR
51950,SLV
51951,WHL
51952,BCV
51955,SVS
51961,SMH
51963,SKW
51965,REC
52040,HKW
52042,HMN
52044,HKC
52046,DLK
52048,CNN
52049,XIC
52051,XHZ
52053,HII
52054,XJC
52058,CIR
52074,DLJ
52078,HGG
52080,HOX
52082,SDC
52084,ZLW
52085,WHX
52088,SDE
52090,WPE
52200,XTM
52202,XTX
52203,XTA
52208,CWX
52213,XXQ
52217,XXR
52226,SRA
52250,ZWZ
52252,ZBW
52253,CUS
52701,XOW
52702,WEH
52705,LHS
52711,FST
52712,ZTH
52713,ZPS
52729,WST
52731,CHI
52732,HIP
52733,WHC
52734,SJS
52735,CPT
52736,HAC
52737,LOF
52738,CBH
52739,BET
52741,LST
52745,LSX
53004,RYS
53011,AWM
53015,BDK
53101,XLL
53102,XLE
53104,LET
53201,ARL
53212,XHY
53221,HIT
53223,SVG
53228,KBW
53229,WLW
53230,WAS
53231,XGN
53240,XHP
53241,HFN
53242,XHQ
53243,BAY
53245,CUF
53246,CWH
53248,GDH
53301,ENC
53303,GPK
53305,WIH
53307,PAL
53309,BOP
53401,WGC
53403,XYW
53501,HAT
53801,WMG
53995,BPK
54001,PBR
54008,HDW
54011,NBA
54021,OKL
54031,NSG
54101,XGD
54103,AAP
54201,XHS
54202,HGY
54203,HRN
54208,XHE
54209,XFD
54210,XHU
54238,FPK
54291,DYP
54293,HHY
54295,EXR
54297,OLD
54299,MOG
54304,XKB
54311,KGX
55095,NSD
55098,HKN
55116,BLW
55202,ATB
55212,BEE
55247,NOT
55497,CTO
55499,BUJ
55501,LOW
55503,THU
55505,BSB
55507,FSK
55509,ROL
55603,NET
55623,RDF
55625,BIN
56127,ALF
56221,MSW
56225,MFT
56237,SPK
56243,KKB
56524,LGM
56547,ILN
56596,LGE
56601,XTR
56605,XTG
56625,XDD
56650,EMD
57004,MAT
57007,MTB
57009,CMF
57011,WTS
57013,AMB
57110,XAJ
57111,BLP
57114,DFI
57403,DBY
57412,XEP
57435,SPO
57452,PEA
57455,SIR
57456,SFC
57471,TUT
57604,WIL
57712,BUT
57725,XUN
59002,LBO
59009,BWS
59017,SIL
59024,SYS
59125,MMO
59135,OKM
59139,XMJ
59241,LEI
59285,SWS
59301,NBR
59318,HNK
